Country Name,Country Code,Indice Educacion 
Perú,PER,Ingreso mediano alto
Filipinas,PHL,Países de ingreso mediano bajo
Palau,PLW,Ingreso alto
Papua Nueva Guinea,PNG,Países de ingreso mediano bajo
Polonia,POL,Ingreso alto
previa al dividendo demográfico,PRE,Agregados
Puerto Rico,PRI,Ingreso alto
"Corea, República Popular Democrática de",PRK,Países de ingreso bajo
Portugal,PRT,Ingreso alto
Paraguay,PRY,Ingreso mediano alto
Ribera Occidental y Gaza,PSE,Países de ingreso mediano bajo
Estados pequeos de las Islas del Pacfico,PSS,Agregados
posterior al dividendo demográfico,PST,Agregados
Polinesia Francesa,PYF,Ingreso alto
Qatar,QAT,Ingreso alto
Rumania,ROU,Ingreso alto
Federación de Rusia,RUS,Ingreso alto
Rwanda,RWA,Países de ingreso bajo
Asia meridional,SAS,Agregados
Arabia Saudita,SAU,Ingreso alto
Sudán,SDN,Países de ingreso bajo
Senegal,SEN,Países de ingreso mediano bajo
Singapur,SGP,Ingreso alto
Islas Salomón,SLB,Países de ingreso mediano bajo
Sierra Leona,SLE,Países de ingreso bajo
El Salvador,SLV,Ingreso mediano alto
San Marino,SMR,Ingreso alto
Somalia,SOM,Países de ingreso bajo
Serbia,SRB,Ingreso mediano alto
África al sur del Sahara (excluido altos ingresos),SSA,Agregados
Sudán del Sur,SSD,Países de ingreso bajo
África al sur del Sahara,SSF,Agregados
Pequeños Estados,SST,Agregados
Santo Tomé y Príncipe,STP,Países de ingreso mediano bajo
Suriname,SUR,Ingreso mediano alto
República Eslovaca,SVK,Ingreso alto
Eslovenia,SVN,Ingreso alto
Suecia,SWE,Ingreso alto
Eswatini,SWZ,Países de ingreso mediano bajo
Sint Maarten (Dutch part),SXM,Ingreso alto
Seychelles,SYC,Ingreso alto
República Árabe Siria,SYR,Países de ingreso bajo
Islas Turcas y Caicos,TCA,Ingreso alto
Chad,TCD,Países de ingreso bajo
Asia oriental y el Pacífico (BIRF y la AIF),TEA,Agregados
Europa y Asia central (BIRF y la AIF),TEC,Agregados
Togo,TGO,Países de ingreso bajo
Tailandia,THA,Ingreso mediano alto
Tayikistán,TJK,Países de ingreso mediano bajo
Turkmenistán,TKM,Ingreso mediano alto
América Latina y el Caribe (BIRF y la AIF),TLA,Agregados
Timor-Leste,TLS,Países de ingreso mediano bajo
Oriente Medio y Norte de África (BIRF y la AIF),TMN,Agregados
Tonga,TON,Ingreso mediano alto
Asia meridional (BIRF y la AIF),TSA,Agregados
África al sur del Sahara (BIRF y la AIF),TSS,Agregados
Trinidad y Tobago,TTO,Ingreso alto
Túnez,TUN,Países de ingreso mediano bajo
Turquía,TUR,Ingreso mediano alto
Tuvalu,TUV,Ingreso mediano alto
Tanzanía,TZA,Países de ingreso mediano bajo
Uganda,UGA,Países de ingreso bajo
Ucrania,UKR,Ingreso mediano alto
Ingreso mediano alto,UMC,Agregados
Uruguay,URY,Ingreso alto
Estados Unidos,USA,Ingreso alto
Uzbekistán,UZB,Países de ingreso mediano bajo
San Vicente y las Granadinas,VCT,Ingreso mediano alto
Venezuela,VEN,No clasificado
Islas Vírgenes Británicas,VGB,Ingreso alto
Islas Vírgenes (EE.UU.),VIR,Ingreso alto
Viet Nam,VNM,Países de ingreso mediano bajo
Vanuatu,VUT,Países de ingreso mediano bajo
Mundo,WLD,Agregados
Samoa,WSM,Países de ingreso mediano bajo
Kosovo,XKX,Ingreso mediano alto
"Yemen, Rep. del",YEM,Bajo
Sudáfrica,ZAF,Ingreso mediano alto
Zambia,ZMB,Países de ingreso mediano bajo
Zimbabwe,ZWE,Países de ingreso mediano bajo
